Country,Region,Sea-LevelRiseScenarios,ImpactedGDP ,PercentageofGDPimpacted,Region2,Sea-Level Rise Scenarios2,PercentageofGDPimpacted2,ImpactedGDP2
Mozambique,Sub-Saharan Africa,Twometer,84,0.475651189,,,,
Nigeria,Sub-Saharan Africa,Twometer,510,0.46612803,,,,
Guinea-Bissau,Sub-Saharan Africa,Twometer,11,0.956521739,,,,
South Africa,Sub-Saharan Africa,Twometer,35,0.007439432,,,,
Senegal,Sub-Saharan Africa,Twometer,916,6.614673599,,,,
Sierra Leone,Sub-Saharan Africa,Twometer,11,0.481400438,,,,
Somalia,Sub-Saharan Africa,Twometer,7,0.162790698,,,,
Sudan,Sub-Saharan Africa,Twometer,20,0.032191604,,,,
Togo,Sub-Saharan Africa,Twometer,17,0.22687842,,,,
Sao Tome and Principe,Sub-Saharan Africa,Twometer,0,0,,,,
Tanzania,Sub-Saharan Africa,Twometer,17,0.099794541,,,,
Namibia,Sub-Saharan Africa,Twometer,4,0.0322139,,,,
Angola,Sub-Saharan Africa,Threemeter,209,0.755795031,,,,
Benin,Sub-Saharan Africa,Threemeter,880,14.7601476,,,,
"Congo, Rep.",Sub-Saharan Africa,Threemeter,3,0.10413051,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Threemeter,17,0.04553856,,,,
Cameroon,Sub-Saharan Africa,Threemeter,47,0.192733536,,,,
Djibouti,Sub-Saharan Africa,Threemeter,11,0.739744452,,,,
Equatorial Guinea,Sub-Saharan Africa,Threemeter,2,0.208333333,,,,
Ethiopia,Sub-Saharan Africa,Threemeter,181,0.367579862,,,,
Gambia,Sub-Saharan Africa,Threemeter,195,7.59641605,,,,
Gabon,Sub-Saharan Africa,Threemeter,31,0.419769804,,,,
Ghana,Sub-Saharan Africa,Threemeter,577,1.366877502,,,,
Guinea,Sub-Saharan Africa,Threemeter,469,3.308875406,,,,
Ivory Coast,Sub-Saharan Africa,Threemeter,292,1.208659299,,,,
Kenya,Sub-Saharan Africa,Threemeter,89,0.300442224,,,,
Liberia,Sub-Saharan Africa,Threemeter,42,1.253731343,,,,
Madagascar,Sub-Saharan Africa,Threemeter,84,0.667885823,,,,
Mauritania,Sub-Saharan Africa,Threemeter,869,17.47787611,,,,
Mozambique,Sub-Saharan Africa,Threemeter,164,0.928652322,,,,
Nigeria,Sub-Saharan Africa,Threemeter,1734,1.584835301,,,,
Guinea-Bissau,Sub-Saharan Africa,Threemeter,21,1.826086957,,,,
South Africa,Sub-Saharan Africa,Threemeter,177,0.037622272,,,,
Senegal,Sub-Saharan Africa,Threemeter,1124,8.116695552,,,,
Sierra Leone,Sub-Saharan Africa,Threemeter,22,0.962800875,,,,
Somalia,Sub-Saharan Africa,Threemeter,8,0.186046512,,,,
Sudan,Sub-Saharan Africa,Threemeter,36,0.057944888,,,,
Togo,Sub-Saharan Africa,Threemeter,17,0.22687842,,,,
Sao Tome and Principe,Sub-Saharan Africa,Threemeter,0,0,,,,
Tanzania,Sub-Saharan Africa,Threemeter,19,0.111535075,,,,
Namibia,Sub-Saharan Africa,Threemeter,4,0.0322139,,,,
Angola,Sub-Saharan Africa,Fourmeter,385,1.392254005,,,,
Benin,Sub-Saharan Africa,Fourmeter,931,15.61556525,,,,
"Congo, Rep.",Sub-Saharan Africa,Fourmeter,7,0.242971191,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Fourmeter,17,0.04553856,,,,
Cameroon,Sub-Saharan Africa,Fourmeter,220,0.902156975,,,,
Djibouti,Sub-Saharan Africa,Fourmeter,19,1.277740417,,,,
Equatorial Guinea,Sub-Saharan Africa,Fourmeter,2,0.208333333,,,,
Ethiopia,Sub-Saharan Africa,Fourmeter,181,0.367579862,,,,
Gambia,Sub-Saharan Africa,Fourmeter,375,14.6084924,,,,
Gabon,Sub-Saharan Africa,Fourmeter,55,0.744752877,,,,
Ghana,Sub-Saharan Africa,Fourmeter,644,1.52559638,,,,
Guinea,Sub-Saharan Africa,Fourmeter,642,4.529420065,,,,
Ivory Coast,Sub-Saharan Africa,Fourmeter,526,2.177242436,,,,
Kenya,Sub-Saharan Africa,Fourmeter,98,0.330824022,,,,
Liberia,Sub-Saharan Africa,Fourmeter,60,1.791044776,,,,
Madagascar,Sub-Saharan Africa,Fourmeter,114,0.906416475,,,,
Mauritania,Sub-Saharan Africa,Fourmeter,1081,21.74175382,,,,
Mozambique,Sub-Saharan Africa,Fourmeter,1127,6.381653454,,,,
Nigeria,Sub-Saharan Africa,Fourmeter,2083,1.90381311,,,,
Guinea-Bissau,Sub-Saharan Africa,Fourmeter,128,11.13043478,,,,
South Africa,Sub-Saharan Africa,Fourmeter,836,0.177696157,,,,
Senegal,Sub-Saharan Africa,Fourmeter,1348,9.734257655,,,,
Sierra Leone,Sub-Saharan Africa,Fourmeter,32,1.400437637,,,,
Somalia,Sub-Saharan Africa,Fourmeter,10,0.23255814,,,,
Sudan,Sub-Saharan Africa,Fourmeter,61,0.098184394,,,,
Togo,Sub-Saharan Africa,Fourmeter,45,0.600560523,,,,
Sao Tome and Principe,Sub-Saharan Africa,Fourmeter,0,0,,,,
Tanzania,Sub-Saharan Africa,Fourmeter,45,0.264162019,,,,
Namibia,Sub-Saharan Africa,Fourmeter,4,0.0322139,,,,
Angola,Sub-Saharan Africa,Fivemeter,476,1.721332224,,,,
Benin,Sub-Saharan Africa,Fivemeter,976,16.37034552,,,,
"Congo, Rep.",Sub-Saharan Africa,Fivemeter,17,0.590072891,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Fivemeter,17,0.04553856,,,,
Cameroon,Sub-Saharan Africa,Fivemeter,288,1.181005495,,,,
Djibouti,Sub-Saharan Africa,Fivemeter,19,1.277740417,,,,
Equatorial Guinea,Sub-Saharan Africa,Fivemeter,2,0.208333333,,,,
Ethiopia,Sub-Saharan Africa,Fivemeter,189,0.383826486,,,,
Gambia,Sub-Saharan Africa,Fivemeter,448,17.45227892,,,,
Gabon,Sub-Saharan Africa,Fivemeter,81,1.096817874,,,,
Ghana,Sub-Saharan Africa,Fivemeter,950,2.250491555,,,,
Guinea,Sub-Saharan Africa,Fivemeter,911,6.427261182,,,,
Ivory Coast,Sub-Saharan Africa,Fivemeter,772,3.195496502,,,,
Kenya,Sub-Saharan Africa,Fivemeter,135,0.455726969,,,,
Liberia,Sub-Saharan Africa,Fivemeter,60,1.791044776,,,,
Madagascar,Sub-Saharan Africa,Fivemeter,162,1.288065516,,,,
Mauritania,Sub-Saharan Africa,Fivemeter,1297,26.08608206,,,,
Mozambique,Sub-Saharan Africa,Fivemeter,1257,7.117780294,,,,
Nigeria,Sub-Saharan Africa,Fivemeter,3027,2.766606954,,,,
Guinea-Bissau,Sub-Saharan Africa,Fivemeter,160,13.91304348,,,,
South Africa,Sub-Saharan Africa,Fivemeter,889,0.188961583,,,,
Senegal,Sub-Saharan Africa,Fivemeter,1503,10.85355286,,,,
Sierra Leone,Sub-Saharan Africa,Fivemeter,50,2.188183807,,,,
Somalia,Sub-Saharan Africa,Fivemeter,17,0.395348837,,,,
Sudan,Sub-Saharan Africa,Fivemeter,97,0.156129281,,,,
Togo,Sub-Saharan Africa,Fivemeter,51,0.68063526,,,,
Sao Tome and Principe,Sub-Saharan Africa,Fivemeter,0,0,,,,
Tanzania,Sub-Saharan Africa,Fivemeter,51,0.299383622,,,,
Namibia,Sub-Saharan Africa,Fivemeter,7,0.056374326,,,,
Myanmar (Burma),East Asia,Onemeter,613,0.962323391,,,,
Brunei,East Asia,Onemeter,0,0,,,,
Cambodia,East Asia,Onemeter,223,1.056571591,,,,
China,East Asia,Onemeter,113390,2.40021354,,,,
Indonesia,East Asia,Onemeter,11558,1.884562016,,,,
North Korea,East Asia,Onemeter,22,0.1,,,,
South Korea,East Asia,Onemeter,1468,0.212208647,,,,
Malaysia,East Asia,Onemeter,1165,0.550208276,,,,
Papua New Guinea,East Asia,Onemeter,8,0.057442378,,,,
Philippines,East Asia,Onemeter,1805,0.621689204,,,,
Thailand,East Asia,Onemeter,5372,1.419376658,,,,
Taiwan China,East Asia,Onemeter,6999,1.813212435,,,,
Vietnam,East Asia,Onemeter,15805,10.21080582,,,,
Myanmar (Burma),East Asia,Twometer,1257,1.973312402,,,,
Brunei,East Asia,Twometer,0,0,,,,
Cambodia,East Asia,Twometer,552,2.615370037,,,,
China,East Asia,Twometer,177883,3.765386588,,,,
Indonesia,East Asia,Twometer,18776,3.061475724,,,,
North Korea,East Asia,Twometer,37,0.168181818,,,,
South Korea,East Asia,Twometer,2846,0.411407227,,,,
Malaysia,East Asia,Twometer,2534,1.196762036,,,,
Papua New Guinea,East Asia,Twometer,12,0.086163567,,,,
Philippines,East Asia,Twometer,4104,1.413524926,,,,
Thailand,East Asia,Twometer,10411,2.750768873,,,,
Taiwan China,East Asia,Twometer,11616,3.009326425,,,,
Vietnam,East Asia,Twometer,25522,16.48846479,,,,
Myanmar (Burma),East Asia,Threemeter,2529,3.970172684,,,,
Brunei,East Asia,Threemeter,0,0,,,,
Cambodia,East Asia,Threemeter,1045,4.951198711,,,,
China,East Asia,Threemeter,263878,5.585709045,,,,
Indonesia,East Asia,Threemeter,30278,4.936906794,,,,
North Korea,East Asia,Threemeter,92,0.418181818,,,,
South Korea,East Asia,Threemeter,4130,0.597017514,,,,
Malaysia,East Asia,Threemeter,3716,1.754999103,,,,
Papua New Guinea,East Asia,Threemeter,16,0.114884756,,,,
Philippines,East Asia,Threemeter,6165,2.123387225,,,,
Thailand,East Asia,Threemeter,28230,7.458861328,,,,
Taiwan China,East Asia,Threemeter,16631,4.308549223,,,,
Vietnam,East Asia,Threemeter,37419,24.17451078,,,,
Myanmar (Burma),East Asia,Fourmeter,4562,7.161695447,,,,
Brunei,East Asia,Fourmeter,6,0.101694915,,,,
Cambodia,East Asia,Fourmeter,1627,7.708708424,,,,
