Suburb,Month,Year,avg_price
BURWOOD EAST,8,2017,1000000
BURWOOD EAST,9,2017,1010508.22
CAIRNLEA,5,2017,720000
CAIRNLEA,6,2017,724100
CAIRNLEA,7,2017,656640
CAIRNLEA,8,2017,560000
CAIRNLEA,9,2017,716833.5
CAMBERWELL,4,2016,1618702.44
CAMBERWELL,5,2016,2278600.41
CAMBERWELL,6,2016,1528848.67
CAMBERWELL,7,2016,1175859.6
CAMBERWELL,8,2016,2174429.26
CAMBERWELL,9,2016,2031818.77
CAMBERWELL,10,2016,1931758.73
CAMBERWELL,11,2016,1510308.96
CAMBERWELL,12,2016,1960128.69
CAMBERWELL,2,2017,2140156.4
CAMBERWELL,3,2017,1994653.91
CAMBERWELL,4,2017,1388153.55
CAMBERWELL,5,2017,2321166.93
CAMBERWELL,6,2017,1818597.75
CAMBERWELL,7,2017,1267067.79
CAMBERWELL,8,2017,1928011.53
CAMBERWELL,9,2017,2050647.73
CAMPBELLFIELD,8,2017,650000
CANTERBURY,1,2016,2778864
CANTERBURY,4,2016,1317237.5
CANTERBURY,5,2016,3077349
CANTERBURY,6,2016,1134080
CANTERBURY,7,2016,1421593.75
CANTERBURY,8,2016,2944279.67
CANTERBURY,9,2016,1859539.83
CANTERBURY,10,2016,2350644
CANTERBURY,11,2016,2118858
CANTERBURY,12,2016,2660973.17
CANTERBURY,2,2017,3289432
CANTERBURY,3,2017,2409025.38
CANTERBURY,4,2017,2014000
CANTERBURY,5,2017,3098144.73
CANTERBURY,6,2017,1937691.29
CANTERBURY,7,2017,816000
CANTERBURY,8,2017,2319074
CANTERBURY,9,2017,2382418.08
CARLTON,4,2016,1199898.67
CARLTON,5,2016,1007103.17
CARLTON,6,2016,1096666.67
CARLTON,7,2016,778500
CARLTON,8,2016,1054142.86
CARLTON,9,2016,1355000
CARLTON,10,2016,880000
CARLTON,11,2016,817333.33
CARLTON,12,2016,921111
CARLTON,2,2017,2160500
CARLTON,3,2017,1032087
CARLTON,4,2017,876250
CARLTON,5,2017,947782.67
CARLTON,6,2017,1046666.5
CARLTON,7,2017,921253.63
CARLTON,8,2017,1206087
CARLTON,9,2017,845366
CARLTON NORTH,4,2016,1867000
CARLTON NORTH,5,2016,1967350
CARLTON NORTH,6,2016,725000
CARLTON NORTH,7,2016,1401916.5
CARLTON NORTH,8,2016,1397111
CARLTON NORTH,9,2016,1116611
CARLTON NORTH,10,2016,1047500
CARLTON NORTH,11,2016,2400000
CARLTON NORTH,12,2016,1128625
CARLTON NORTH,2,2017,1623111
CARLTON NORTH,3,2017,1555291.63
CARLTON NORTH,4,2017,550000
CARLTON NORTH,5,2017,1537908.3
CARLTON NORTH,6,2017,1881700
CARLTON NORTH,7,2017,1213333.33
CARLTON NORTH,8,2017,1585666.5
CARLTON NORTH,9,2017,1144266.6
CARNEGIE,4,2016,981867.3
CARNEGIE,5,2016,1049722.41
CARNEGIE,6,2016,649764.71
CARNEGIE,7,2016,696650
CARNEGIE,8,2016,890443.14
CARNEGIE,9,2016,1036666.67
CARNEGIE,10,2016,562964.5
CARNEGIE,11,2016,914550.44
CARNEGIE,12,2016,1026515.88
CARNEGIE,2,2017,1004118.18
CARNEGIE,3,2017,849153.87
CARNEGIE,4,2017,759795.4
CARNEGIE,5,2017,1020796.93
CARNEGIE,6,2017,1083617.93
CARNEGIE,7,2017,909600.95
CARNEGIE,8,2017,817414.86
CARNEGIE,9,2017,995520
CAROLINE SPRINGS,5,2017,545444
CAROLINE SPRINGS,6,2017,778333.33
CAROLINE SPRINGS,7,2017,519666.67
CAROLINE SPRINGS,8,2017,785000
CAROLINE SPRINGS,9,2017,646000
CARRUM,5,2017,885000
CARRUM,6,2017,758238.17
CARRUM,7,2017,650000
CARRUM,8,2017,685000
CARRUM,9,2017,721750
CARRUM DOWNS,5,2017,532500
CARRUM DOWNS,6,2017,550486
CARRUM DOWNS,7,2017,510166.67
CARRUM DOWNS,8,2017,561375
CARRUM DOWNS,9,2017,559250
CAULFIELD,4,2016,1220000
CAULFIELD,6,2016,1090000
CAULFIELD,9,2016,722500
CAULFIELD,11,2016,638000
CAULFIELD,12,2016,1146656
CAULFIELD,2,2017,131000
CAULFIELD,3,2017,436500
CAULFIELD,4,2017,496656
CAULFIELD,5,2017,552500
CAULFIELD,6,2017,730500
CAULFIELD,8,2017,1070000
CAULFIELD,9,2017,341000
CAULFIELD EAST,5,2016,555000
CAULFIELD EAST,6,2016,1315000
CAULFIELD EAST,7,2016,1335000
CAULFIELD EAST,10,2016,1300000
CAULFIELD EAST,12,2016,620000
CAULFIELD EAST,2,2017,1000000
CAULFIELD EAST,5,2017,650926
CAULFIELD EAST,6,2017,350000
CAULFIELD EAST,7,2017,1550000
CAULFIELD EAST,9,2017,1011694.5
CAULFIELD NORTH,5,2016,1215833.33
CAULFIELD NORTH,8,2016,1030166.67
CAULFIELD NORTH,9,2016,865093
