Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion,,,,
Benin,Sub-Saharan Africa,Twometer,550,5962,9.225092251,4549,0.450711538,,,,
"Congo, Rep.",Sub-Saharan Africa,Twometer,3,2881,0.10413051,4549,0.450711538,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Twometer,17,37331,0.04553856,4549,0.450711538,,,,
Cameroon,Sub-Saharan Africa,Twometer,19,24386,0.077913557,4549,0.450711538,,,,
Djibouti,Sub-Saharan Africa,Twometer,5,1487,0.336247478,4549,0.450711538,,,,
Equatorial Guinea,Sub-Saharan Africa,Twometer,1,960,0.104166667,4549,0.450711538,,,,
Ethiopia,Sub-Saharan Africa,Twometer,181,49241,0.367579862,4549,0.450711538,,,,
Gambia,Sub-Saharan Africa,Twometer,56,2567,2.181534866,4549,0.450711538,,,,
Gabon,Sub-Saharan Africa,Twometer,12,7385,0.162491537,4549,0.450711538,,,,
Ghana,Sub-Saharan Africa,Twometer,458,42213,1.084973823,4549,0.450711538,,,,
Guinea,Sub-Saharan Africa,Twometer,364,14174,2.568082404,4549,0.450711538,,,,
Ivory Coast,Sub-Saharan Africa,Twometer,280,24159,1.158988369,4549,0.450711538,,,,
Kenya,Sub-Saharan Africa,Twometer,44,29623,0.148533234,4549,0.450711538,,,,
Liberia,Sub-Saharan Africa,Twometer,36,3350,1.074626866,4549,0.450711538,,,,
Madagascar,Sub-Saharan Africa,Twometer,58,12577,0.461159259,4549,0.450711538,,,,
Mauritania,Sub-Saharan Africa,Twometer,718,4972,14.44086887,4549,0.450711538,,,,
Mozambique,Sub-Saharan Africa,Twometer,84,17660,0.475651189,4549,0.450711538,,,,
Nigeria,Sub-Saharan Africa,Twometer,510,109412,0.46612803,4549,0.450711538,,,,
Guinea-Bissau,Sub-Saharan Africa,Twometer,11,1150,0.956521739,4549,0.450711538,,,,
South Africa,Sub-Saharan Africa,Twometer,35,470466,0.007439432,4549,0.450711538,,,,
Senegal,Sub-Saharan Africa,Twometer,916,13848,6.614673599,4549,0.450711538,,,,
Sierra Leone,Sub-Saharan Africa,Twometer,11,2285,0.481400438,4549,0.450711538,,,,
Somalia,Sub-Saharan Africa,Twometer,7,4300,0.162790698,4549,0.450711538,,,,
Sudan,Sub-Saharan Africa,Twometer,20,62128,0.032191604,4549,0.450711538,,,,
Togo,Sub-Saharan Africa,Twometer,17,7493,0.22687842,4549,0.450711538,,,,
Sao Tome and Principe,Sub-Saharan Africa,Twometer,0,178,0,4549,0.450711538,,,,
Tanzania,Sub-Saharan Africa,Twometer,17,17035,0.099794541,4549,0.450711538,,,,
Namibia,Sub-Saharan Africa,Twometer,4,12417,0.0322139,4549,0.450711538,,,,
Angola,Sub-Saharan Africa,Threemeter,209,27653,0.755795031,7324,0.725656474,,,,
Benin,Sub-Saharan Africa,Threemeter,880,5962,14.7601476,7324,0.725656474,,,,
"Congo, Rep.",Sub-Saharan Africa,Threemeter,3,2881,0.10413051,7324,0.725656474,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Threemeter,17,37331,0.04553856,7324,0.725656474,,,,
Cameroon,Sub-Saharan Africa,Threemeter,47,24386,0.192733536,7324,0.725656474,,,,
Djibouti,Sub-Saharan Africa,Threemeter,11,1487,0.739744452,7324,0.725656474,,,,
Equatorial Guinea,Sub-Saharan Africa,Threemeter,2,960,0.208333333,7324,0.725656474,,,,
Ethiopia,Sub-Saharan Africa,Threemeter,181,49241,0.367579862,7324,0.725656474,,,,
Gambia,Sub-Saharan Africa,Threemeter,195,2567,7.59641605,7324,0.725656474,,,,
Gabon,Sub-Saharan Africa,Threemeter,31,7385,0.419769804,7324,0.725656474,,,,
Ghana,Sub-Saharan Africa,Threemeter,577,42213,1.366877502,7324,0.725656474,,,,
Guinea,Sub-Saharan Africa,Threemeter,469,14174,3.308875406,7324,0.725656474,,,,
Ivory Coast,Sub-Saharan Africa,Threemeter,292,24159,1.208659299,7324,0.725656474,,,,
Kenya,Sub-Saharan Africa,Threemeter,89,29623,0.300442224,7324,0.725656474,,,,
Liberia,Sub-Saharan Africa,Threemeter,42,3350,1.253731343,7324,0.725656474,,,,
Madagascar,Sub-Saharan Africa,Threemeter,84,12577,0.667885823,7324,0.725656474,,,,
Mauritania,Sub-Saharan Africa,Threemeter,869,4972,17.47787611,7324,0.725656474,,,,
Mozambique,Sub-Saharan Africa,Threemeter,164,17660,0.928652322,7324,0.725656474,,,,
Nigeria,Sub-Saharan Africa,Threemeter,1734,109412,1.584835301,7324,0.725656474,,,,
Guinea-Bissau,Sub-Saharan Africa,Threemeter,21,1150,1.826086957,7324,0.725656474,,,,
South Africa,Sub-Saharan Africa,Threemeter,177,470466,0.037622272,7324,0.725656474,,,,
Senegal,Sub-Saharan Africa,Threemeter,1124,13848,8.116695552,7324,0.725656474,,,,
Sierra Leone,Sub-Saharan Africa,Threemeter,22,2285,0.962800875,7324,0.725656474,,,,
Somalia,Sub-Saharan Africa,Threemeter,8,4300,0.186046512,7324,0.725656474,,,,
Sudan,Sub-Saharan Africa,Threemeter,36,62128,0.057944888,7324,0.725656474,,,,
Togo,Sub-Saharan Africa,Threemeter,17,7493,0.22687842,7324,0.725656474,,,,
Sao Tome and Principe,Sub-Saharan Africa,Threemeter,0,178,0,7324,0.725656474,,,,
Tanzania,Sub-Saharan Africa,Threemeter,19,17035,0.111535075,7324,0.725656474,,,,
Namibia,Sub-Saharan Africa,Threemeter,4,12417,0.0322139,7324,0.725656474,,,,
Angola,Sub-Saharan Africa,Fourmeter,385,27653,1.392254005,11076,1.097401845,,,,
Benin,Sub-Saharan Africa,Fourmeter,931,5962,15.61556525,11076,1.097401845,,,,
"Congo, Rep.",Sub-Saharan Africa,Fourmeter,7,2881,0.242971191,11076,1.097401845,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Fourmeter,17,37331,0.04553856,11076,1.097401845,,,,
Cameroon,Sub-Saharan Africa,Fourmeter,220,24386,0.902156975,11076,1.097401845,,,,
Djibouti,Sub-Saharan Africa,Fourmeter,19,1487,1.277740417,11076,1.097401845,,,,
Equatorial Guinea,Sub-Saharan Africa,Fourmeter,2,960,0.208333333,11076,1.097401845,,,,
Ethiopia,Sub-Saharan Africa,Fourmeter,181,49241,0.367579862,11076,1.097401845,,,,
Gambia,Sub-Saharan Africa,Fourmeter,375,2567,14.6084924,11076,1.097401845,,,,
Gabon,Sub-Saharan Africa,Fourmeter,55,7385,0.744752877,11076,1.097401845,,,,
Ghana,Sub-Saharan Africa,Fourmeter,644,42213,1.52559638,11076,1.097401845,,,,
Guinea,Sub-Saharan Africa,Fourmeter,642,14174,4.529420065,11076,1.097401845,,,,
Ivory Coast,Sub-Saharan Africa,Fourmeter,526,24159,2.177242436,11076,1.097401845,,,,
