locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COOLAROO,315000,304000,278000,290000,290000,302500,340000,451000,480000,441000,477000,490000
COONANS HILL,690000,630000,613500,655000,732000,743000,870000,963000,927000,902500,1055000,1275000
COONGULLA,163000,250000,156000,150000,205000,189000,185000,192000,242000,335000,285000,314500
CORINELLA,325000,282500,290000,330000,270000,370000,325000,391000,450000,357500,505000,575000
CORIO,225000,225000,230000,230000,242000,240000,250000,305000,370000,351500,390000,415500
CORONET BAY,245000,261500,222500,251000,249000,240000,266000,325500,345000,370000,407500,438000
CORRYONG,128000,155000,152500,166500,135000,160000,164000,180000,162500,236000,226500,157500
COWES,400000,384500,380000,385000,357500,412500,400000,440000,541000,560000,587500,699000
COWES WEST,318500,351000,345000,320000,350000,329000,353500,390000,485500,508000,545000,635000
CRAIGIEBURN,365000,360000,350000,360000,362000,390000,425000,502500,547000,525000,567500,573000
CRANBOURNE,327000,325000,313000,315000,331500,360000,406000,510000,540000,500000,520000,575000
CRANBOURNE EAST,353000,368000,370000,390000,410000,437000,460000,535000,574500,567500,583000,620000
CRANBOURNE NORTH,355000,362000,370000,370000,375000,410000,455000,541000,600000,570000,589000,646500
CRANBOURNE SOUTH,,,,,455000,685000,685000,600000,425000,632500,634000,620000
CRANBOURNE WEST,310000,319000,320000,330000,335000,350000,410000,510500,540000,515000,550000,585000
CREMORNE,835000,735000,701000,821000,886500,1030000,1072000,1230000,1420000,1290000,1305000,1695000
CRESWICK,214000,223000,245000,245000,270000,265000,292500,311500,324000,350000,387500,427500
CRIB POINT,347500,330000,350000,355000,339000,350000,402000,502500,555000,527500,580000,581000
CROYDON,465000,465000,450000,470000,525000,605000,695000,810000,792500,735000,787500,815000
CROYDON HILLS,549500,532000,538000,571500,606000,697000,730000,875000,877500,835000,920000,902000
CROYDON NORTH,527500,505500,520000,540500,600000,702500,790500,872000,840000,827500,860500,962000
CROYDON SOUTH,455000,435500,436500,442000,530000,600000,655000,800000,757500,715500,740000,828000
CURLEWIS,,153000,439500,387000,382500,387000,406500,430000,495000,560000,570000,570000
DALLAS,320000,305000,276500,280000,295000,321500,345000,430000,490000,451500,466000,500000
DALYSTON,271000,281500,210000,245000,260000,257000,255000,273500,305000,373000,423000,435500
DANDENONG,430000,400500,400000,405000,439000,485000,555500,619000,640000,601000,625000,680000
DANDENONG NORTH,400000,395000,370000,390000,415500,481000,551000,633500,640000,606500,640000,684000
DARLEY,330000,325000,340500,330500,360000,377500,371500,430000,505000,520000,505000,569500
DAYLESFORD,372500,351500,384500,385000,401500,442500,464000,502000,552500,590000,682500,775000
DEANSIDE,,,,,,,,340000,352500,352500,352500,695000
DEEPDENE,1930000,2046500,1875000,1981000,2215000,2750000,2600000,2862500,2692500,2836000,3150000,4500000
DEER PARK,355000,357000,345000,348000,365000,390000,441000,552500,580000,550000,580000,620000
DELACOMBE,263000,278500,285000,280000,292000,290000,319000,325000,360000,390000,415000,480000
DELAHEY,365000,370000,360000,372500,370000,400000,458000,545000,575000,530000,575000,570000
DENNINGTON,329000,349000,323500,320000,315000,345000,342500,345000,355000,360000,392500,420000
DERRIMUT,395000,418000,410000,417000,435000,466000,530000,635000,615000,649000,658000,661000
DIAMOND CREEK,515000,515000,490000,513000,550000,580000,646500,755000,782500,750500,802000,915000
DIGGERS REST,266500,285000,279000,280000,325000,325000,360000,440500,500000,515000,560000,510000
DIMBOOLA,85500,107500,90000,89000,90500,109500,116000,122500,130000,120000,154000,177500
DINGLEY VILLAGE,553000,540000,515000,553500,607000,690000,775500,887000,840500,810000,930000,972000
DINNER PLAIN,475000,450000,410000,390000,309000,359000,400000,412500,510000,520000,572000,630000
DONALD,135000,165000,104000,140000,120000,125000,145000,122000,145000,136000,140000,151500
DONCASTER,795000,770000,720000,850000,999000,1176000,1297500,1366500,1320000,1260000,1280000,1372000
DONCASTER EAST,750000,720000,682000,789000,894500,1113500,1230000,1360000,1222000,1198000,1250000,1295000
DONNYBROOK,,,,,,,,,530000,540000,627500,575000
DONVALE,715000,712500,681000,735000,840000,964000,970000,1201000,1182500,1140000,1192500,1174000
DOREEN,430000,460000,450000,415000,430000,440000,470500,550000,601000,598000,625000,667500
DOVETON,330000,322000,290000,302000,310500,348000,405000,490000,542500,470000,498000,520000
DROMANA,446500,455000,451000,462000,492000,552000,583000,690000,785500,715000,760000,800000
DROUIN,275500,289000,290000,300000,311000,320000,347000,390000,455000,440000,470000,525000
DRYSDALE,355000,425000,360000,385000,405000,410000,409000,436500,510000,572500,585000,647000
DUNKELD,180000,245000,179000,210000,177500,191500,207500,210000,297500,225000,280000,
DUNOLLY,120000,145000,159000,182500,170000,167500,180000,179000,206500,234500,209500,270000
EAGLE POINT,236000,301500,237000,227000,281500,335000,267500,250000,304500,360000,372000,399500
EAGLEHAWK,226000,240000,260000,264000,274000,283000,270000,295000,315000,321500,360000,380000
EAGLEMONT,1330000,1500000,1343500,1340000,1522500,1730000,1895500,1963000,1955000,1799000,1970000,1920000
EAST BAIRNSDALE,195000,176500,190000,226000,160000,202500,212500,222000,225000,235000,313500,277000
EAST BENDIGO,262500,267000,295000,285000,330000,300000,303500,335000,318000,390000,380000,333500
EAST GEELONG,400000,400000,395000,450000,427000,440000,512500,600000,637000,625000,815000,735000
EAST MELBOURNE,1621000,1737500,2480000,1790000,1850000,2750000,3655000,3585000,2675000,3413500,2350000,3950000
EAST WARBURTON,285000,332500,282500,289500,275000,305000,369000,392500,428500,458000,509000,593500
EASTWOOD,330000,334000,332000,335000,342000,335000,357500,380000,385000,410000,415000,450000
ECHUCA,271000,278000,270000,285000,285000,300000,310000,320000,365000,370000,411000,457000
EDENHOPE,132500,100000,106000,160000,130000,115000,144500,160000,147000,169500,143000,202500
EDITHVALE,616000,590000,625000,615000,670000,766000,930000,1058500,1047500,954000,1005000,1166000
EILDON,190000,180000,185000,210000,205000,208500,210000,225000,258000,251500,285000,380000
ELLIMINYT,335000,260000,323000,332000,313000,318000,364000,366500,385000,445000,465000,522500
ELMORE,182500,188000,160000,184000,176000,200000,220000,162000,227500,235000,235000,255000
ELSTERNWICK,1240000,1200000,1155000,1365000,1315000,1621000,1723500,2087500,1970000,1825000,2101500,2046500
ELTHAM,614000,625000,590500,631500,670000,750000,820000,930000,942500,925000,1000000,1066500
ELTHAM NORTH,621000,627000,580500,622000,680000,758000,850500,900000,930500,930000,1050000,1100000
ELWOOD,1350000,1150000,1287500,1350000,1412500,1631000,1830000,1900000,2140000,1950000,2050000,2137000
EMERALD,433500,415000,410500,440000,449500,502000,545000,660500,730000,660000,730000,820000
ENDEAVOUR HILLS,400000,400000,390000,400000,432000,496500,550000,630500,651000,620000,671000,734000
EPPING,380000,385000,365000,366500,386500,400000,455000,556000,600000,546000,576500,585500
EPSOM,275000,325000,315000,322500,342500,340000,340000,352000,357000,371500,431000,468500
ESSENDON,952000,895000,920000,870000,942000,1228000,1365000,1402000,1682000,1448500,1485000,1485000
ESSENDON NORTH,850000,875500,686000,725000,840000,808000,875000,1100000,1092500,1100000,1108000,1075500
ESSENDON WEST,745000,742500,720000,720000,785000,920000,962500,1296000,1221000,1180000,1287500,1245000
EUMEMMERRING,378000,350000,327500,353000,365000,408500,450500,517500,622000,540000,550000,667500
EUREKA,245000,257500,237000,243500,259000,247500,275000,251500,315500,360000,412500,393000
EUROA,167000,185000,215000,208000,230000,235500,265000,239000,270000,309000,360000,386500
EYNESBURY,295000,360000,400000,390500,390000,403500,459000,484000,550000,555000,600000,605000
FAIRFIELD,810000,800000,825000,915000,945000,1111500,1303000,1496000,1316000,1295000,1395500,1430000
FAIRHAVEN,866000,715000,990000,785000,955000,897500,1052500,880000,1020000,1395000,1478000,1910000
FAWKNER,460000,439000,406500,410000,444000,510000,587500,705000,720000,665000,710000,772000
FERNTREE GULLY,449000,430500,429500,451000,505000,599000,660000,749000,732500,692000,750000,801000
FERNY CREEK,580000,525000,456000,497500,492500,621000,750000,798000,830000,800000,908000,1200000
FINGAL,515000,700000,600000,677500,730000,857500,840000,1000000,1350000,1240000,1312500,1602500
FITZROY,805500,880000,918500,945000,1130000,1297500,1600000,1625000,1450000,1400000,1397500,1390000
FITZROY NORTH,900000,855000,868000,976000,1014000,1188000,1279000,1450000,1475000,1385000,1595000,1360000
FIVEWAYS,318500,290000,343500,355000,315000,380000,417500,525000,542500,485000,528500,635000
FLEMINGTON,670000,655000,652000,735500,730000,830000,918000,1100000,926500,1000000,1035000,1000000
FLINDERS,760000,822000,710000,765000,808000,839000,1225000,1525000,1697500,1670000,2085000,1825000
FLORA HILL,266000,285000,309000,310000,323500,321000,325000,335000,352500,370000,392500,405000
FLOWERDALE,180000,286500,250000,292500,170000,255000,237500,310000,390000,287500,400000,355000
FOOTSCRAY,574000,568000,568000,600000,645000,690500,775000,882000,899000,812000,880000,842000
FOREST HILL,620000,560000,565000,650500,721000,892000,933500,1060000,935000,900000,986000,1062000
FOSTER,265000,265000,269500,298000,315000,325000,315000,320000,335000,330000,387500,367500
FRANKSTON,367000,357000,340000,350000,372000,426000,474000,600000,605000,581000,621500,660000
FRANKSTON NORTH,280000,277000,245000,255000,269000,297000,352000,470000,502000,423000,450000,530000
FRANKSTON SOUTH,530000,533500,510000,535000,560000,620000,690000,815500,855000,817500,860000,834000
FRASER RISE,,,634500,455000,490000,465000,483000,540000,615000,595000,625000,640000
FYANSFORD,,425000,310000,386500,478000,688000,592500,610000,650000,660000,800500,750000
GARDEN CITY,1062500,912500,965000,1055000,1055000,1320000,1440000,1650000,1507500,1375000,1602500,2672500
GARDENVALE,1200000,1133000,956000,1150000,1180000,1348000,1857500,1880000,1830000,1740000,1900000,
GARFIELD,342500,345000,335000,405000,355000,370000,405000,414500,540000,518000,590000,530000
GEELONG,465000,475000,463000,500000,512000,607500,590000,735000,750000,720000,902000,905000
GEELONG WEST,385000,405000,410000,440000,469000,490000,543500,650000,713000,675000,749000,825000
GEMBROOK,340000,385000,349000,344000,400000,440000,525000,565000,610000,650000,680000,710000
GISBORNE,399000,430000,429500,496000,510000,550000,635000,655000,770000,730000,810000,870000
GLADSTONE PARK,426500,385000,380000,392500,400000,460000,525000,645000,630000,636500,640000,700000
GLEN HUNTLY,919000,805000,792500,977500,1135000,1350000,1330000,1415000,1225000,1380000,1295000,904500
GLEN IRIS,1320000,1200000,1200000,1310000,1500000,1800000,1935000,2025000,1927500,1961000,2125000,2135000
GLEN WAVERLEY,735000,718000,720000,815000,960000,1212500,1221000,1337500,1300000,1285500,1295000,1400000
GLENROWAN,286000,290000,246000,230000,239000,225000,272500,300000,265000,372500,375000,
GLENROY,508500,457500,437500,454000,500000,560000,600000,730000,725000,700000,740000,790000
GOLDEN BEACH,150000,229000,206000,169500,172500,180000,212500,209500,225500,220000,260000,297500
GOLDEN POINT (BALLARAT),250000,258000,250000,265000,265000,259000,295000,305000,347500,370000,437500,445000
GOLDEN SQUARE,262000,270000,285000,295000,305000,306000,315000,320000,334000,340000,375000,456000
GORDON,270000,300000,229500,278500,303000,290000,330000,404000,402500,495000,618000,750000
GOUGHS BAY,193000,180000,220000,257500,247500,265000,235000,257500,345500,299500,360000,389000
GOWANBRAE,535000,555500,467500,616500,557500,573000,619000,790000,727500,700500,690500,847500
